"position","row_id","entrez_id","symbol","scgpt_symbol","reactome_pathways","baseline_mean","pre_change_sd","change_excess","between_subject_sd"
648,"gene83999","83999","KREMEN1","KREMEN1",11,3.189,0.3496,0.3608,0.6032
649,"gene56172","56172","ANKH","ANKH",2,6.696,0.1845,0.3605,0.2368
650,"gene710","710","SERPING1","SERPING1",14,2.151,0.4695,0.3604,0.8398
651,"gene10462","10462","CLEC10A","CLEC10A",4,4.417,0.2538,0.3604,0.5257
652,"gene6209","6209","RPS15","RPS15",54,9.097,0.2012,0.3596,0.148
653,"gene527","527","ATP6V0C","ATP6V0C",20,8.416,0.1936,0.3595,0.3008
654,"gene81030","81030","ZBP1","ZBP1",17,4.749,0.2357,0.3586,0.3232
655,"gene6095","6095","RORA","RORA",24,6,0.193,0.3582,0.2699
656,"gene1051","1051","CEBPB","CEBPB",33,7.61,0.1849,0.357,0.224
657,"gene6233","6233","RPS27A","RPS27A",507,9.39,0.2048,0.3566,0.1653
658,"gene5901","5901","RAN","RAN",38,6.765,0.1831,0.3564,0.1238
659,"gene9170","9170","LPAR2","LPAR2",8,6.398,0.1864,0.356,0.2392
660,"gene2317","2317","FLNB","FLNB",5,6.668,0.1838,0.3555,0.2608
661,"gene2203","2203","FBP1","FBP1",4,4.265,0.2615,0.3553,0.2994
662,"gene2017","2017","CTTN","CTTN",8,4.872,0.2291,0.3548,0.5139
663,"gene6218","6218","RPS17","RPS17",54,9.371,0.2042,0.3547,0.1702
664,"gene192286","192286","HIGD2A","HIGD2A",4,6.093,0.1905,0.3543,0.1913
665,"gene259173","259173","ALS2CL","ALS2CL",4,4.604,0.2419,0.3539,0.429
666,"gene10549","10549","PRDX4","PRDX4",3,3.373,0.3292,0.3531,0.2014
667,"gene23547","23547","LILRA4","LILRA4",3,2.37,0.4375,0.3528,0.5822
668,"gene353","353","APRT","APRT",12,6.462,0.1849,0.3522,0.174
669,"gene51389","51389","RWDD1","RWDD1",4,4.139,0.2685,0.3518,0.1736
670,"gene100996939","100996939","PYURF","PYURF",4,5.334,0.2102,0.3517,0.1249
671,"gene84992","84992","PIGY","PIGY",4,5.334,0.2102,0.3517,0.1249
672,"gene59285","59285","CACNG6","CACNG6",4,2.618,0.407,0.3514,0.6953
673,"gene940","940","CD28","CD28",22,6.495,0.1844,0.3508,0.2837
674,"gene760","760","CA2","CA2",10,4.525,0.2452,0.3504,0.597
675,"gene2760","2760","GM2A","GM2A",8,5.517,0.2036,0.3499,0.4229
676,"gene8349","8349","H2BC21","H2BC21",158,5.038,0.2209,0.3498,0.3911
677,"gene978","978","CDA","CDA",7,4.824,0.23,0.3497,0.3987
678,"gene2790","2790","GNG10","GNG10",87,3.826,0.2896,0.3494,0.2613
679,"gene54843","54843","SYTL2","SYTL2",4,5.284,0.2114,0.3491,0.4593
680,"gene10870","10870","HCST","HCST",3,6.477,0.1842,0.3488,0.1695
681,"gene671","671","BPI","BPI",6,3.293,0.3352,0.3481,0.9799
682,"gene27102","27102","EIF2AK1","EIF2AK1",6,7.807,0.1859,0.3479,0.3199
683,"gene3772","3772","KCNJ15","KCNJ15",11,5.248,0.2123,0.3476,0.4388
684,"gene1436","1436","CSF1R","CSF1R",11,7.675,0.184,0.3474,0.2825
685,"gene728294","728294","D2HGDH","D2HGDH",3,5.513,0.2032,0.3473,0.2326
686,"gene6167","6167","RPL37","RPL37",46,9.347,0.2023,0.3473,0.148
687,"gene6134","6134","RPL10","RPL10",46,10.486,0.223,0.347,0.1904
688,"gene8714","8714","ABCC3","ABCC3",16,5.178,0.2147,0.3469,0.5323
689,"gene6125","6125","RPL5","RPL5",46,9.515,0.2047,0.3462,0.1658
690,"gene56953","56953","NT5M","NT5M",4,3.561,0.3099,0.3461,0.5654
691,"gene8482","8482","SEMA7A","SEMA7A",10,4.657,0.2373,0.3459,0.3242
692,"gene64759","64759","TNS3","TNS3",5,5.041,0.2198,0.3455,0.2524
693,"gene90990","90990","KIFC2","KIFC2",8,5.68,0.1979,0.3453,0.2052
694,"gene2194","2194","FASN","FASN",26,6.716,0.1814,0.3444,0.177
695,"gene4736","4736","RPL10A","RPL10A",46,9.186,0.1994,0.3443,0.1712
696,"gene974","974","CD79B","CD79B",14,5.837,0.1937,0.3439,0.4058
697,"gene4869","4869","NPM1","NPM1",44,8.484,0.1912,0.3436,0.1659
698,"gene5016","5016","OVGP1","OVGP1",3,2.57,0.409,0.3428,0.3392
699,"gene3590","3590","IL11RA","IL11RA",5,5.764,0.1951,0.3422,0.2368
700,"gene23645","23645","PPP1R15A","PPP1R15A",8,6.352,0.1845,0.3421,0.1853
701,"gene23677","23677","SH3BP4","SH3BP4",4,2.199,0.4545,0.3418,0.3502
702,"gene155066","155066","ATP6V0E2","ATP6V0E2",15,5.526,0.2016,0.3409,0.2421
703,"gene8993","8993","PGLYRP1","PGLYRP1",4,2.7,0.3933,0.3403,0.572
704,"gene4069","4069","LYZ","LYZ",6,11.208,0.2376,0.34,0.5088
705,"gene1848","1848","DUSP6","DUSP6",39,7.013,0.1795,0.34,0.2227
706,"gene1717","1717","DHCR7","DHCR7",8,3.617,0.3031,0.3388,0.1819
707,"gene55967","55967","NDUFA12","NDUFA12",4,4.906,0.2239,0.3385,0.1624
708,"gene30817","30817","ADGRE2","ADGRE2",4,7.323,0.1792,0.3385,0.4232
709,"gene643","643","CXCR5","CXCR5",8,4.746,0.2312,0.3385,0.4211
710,"gene10857","10857","PGRMC1","PGRMC1",3,5.646,0.1976,0.3385,0.3197
711,"gene1312","1312","COMT","COMT",15,5.786,0.1938,0.3383,0.2086
712,"gene51386","51386","EIF3L","EIF3L",11,8.402,0.1894,0.3381,0.1553
713,"gene1536","1536","CYBB","CYBB",24,8.489,0.1901,0.3378,0.2678
714,"gene8740","8740","TNFSF14","TNFSF14",9,5.342,0.207,0.3377,0.2157
715,"gene27339","27339","PRPF19","PRPF19",15,6.47,0.1822,0.3375,0.1245
716,"gene84443","84443","FRMPD3","FRMPD3",3,3.06,0.3539,0.3368,0.6216
717,"gene5621","5621","PRNP","PRNP",9,6.21,0.1854,0.3366,0.1577
718,"gene3903","3903","LAIR1","LAIR1",5,5.383,0.2053,0.3364,0.2998
719,"gene3312","3312","HSPA8","HSPA8",55,10.104,0.213,0.3363,0.1636
720,"gene1803","1803","DPP4","DPP4",5,5.103,0.2154,0.3363,0.3167
721,"gene23586","23586","RIGI","DDX58",37,5.334,0.2068,0.3356,0.3609
722,"gene23327","23327","NEDD4L","NEDD4L",27,3.153,0.3442,0.335,0.4773
723,"gene3091","3091","HIF1A","HIF1A",31,6.399,0.1824,0.3344,0.1954
724,"gene57571","57571","CARNS1","CARNS1",3,5.482,0.2016,0.3344,0.3573
725,"gene89790","89790","SIGLEC10","SIGLEC10",3,7.312,0.1785,0.3343,0.3747
726,"gene8111","8111","GPR68","GPR68",6,4.7,0.2322,0.3336,0.3247
727,"gene4660","4660","PPP1R12B","PPP1R12B",19,5.571,0.1987,0.3333,0.2511
728,"gene64425","64425","POLR1E","POLR1E",16,4.654,0.2344,0.333,0.1922
729,"gene10728","10728","PTGES3","PTGES3",24,6.932,0.1782,0.3329,0.1595
730,"gene140809","140809","SRXN1","SRXN1",6,5.299,0.2074,0.3325,0.4501
731,"gene23250","23250","ATP11A","ATP11A",6,6.563,0.1804,0.3324,0.1642
732,"gene8821","8821","INPP4B","INPP4B",8,4.738,0.2301,0.3322,0.3102
733,"gene57162","57162","PELI1","PELI1",25,6.404,0.1818,0.3314,0.1431
734,"gene6137","6137","RPL13","RPL13",46,11.146,0.2341,0.3313,0.2283
735,"gene4000","4000","LMNA","LMNA",33,5.013,0.2178,0.3313,0.4879
736,"gene5209","5209","PFKFB3","PFKFB3",5,5.446,0.202,0.3307,0.22
737,"gene56993","56993","TOMM22","TOMM22",7,5.649,0.1959,0.3307,0.1237
738,"gene7090","7090","TLE3","TLE3",17,7.628,0.1803,0.3307,0.1883
739,"gene7494","7494","XBP1","XBP1",7,7.28,0.1778,0.3302,0.1869
740,"gene718","718","C3","C3",27,3.103,0.3473,0.3302,0.5226
741,"gene64167","64167","ERAP2","ERAP2",4,6.489,0.1805,0.3293,1.0927
742,"gene2149","2149","F2R","F2R",12,5.155,0.2118,0.329,0.4448
743,"gene81857","81857","MED25","MED25",18,6.835,0.1776,0.3286,0.1946
744,"gene1891","1891","ECH1","ECH1",6,6.216,0.1838,0.3284,0.1488
745,"gene8673","8673","VAMP8","VAMP8",14,6.418,0.1811,0.3283,0.1847
746,"gene6720","6720","SREBF1","SREBF1",28,6.026,0.1867,0.328,0.2752
747,"gene8607","8607","RUVBL1","RUVBL1",27,4.771,0.2275,0.3276,0.1677
748,"gene8682","8682","PEA15","PEA15",5,6.34,0.182,0.3275,0.2037
749,"gene10055","10055","SAE1","SAE1",12,5.944,0.1883,0.3275,0.1242
750,"gene85439","85439","STON2","STON2",4,3.314,0.3263,0.3274,0.4125
751,"gene10913","10913","EDAR","EDAR",4,3.252,0.3322,0.3273,0.6221
752,"gene6843","6843","VAMP1","VAMP1",8,5.847,0.1903,0.3273,0.2317
753,"gene3557","3557","IL1RN","IL1RN",6,4.726,0.2295,0.327,0.2277
754,"gene5603","5603","MAPK13","MAPK13",15,6.654,0.1787,0.3268,0.1779
755,"gene28984","28984","RGCC","RGCC",6,5.487,0.1998,0.3261,0.2948
756,"gene319101","319101","KRT73","KRT73",3,3.806,0.2844,0.326,1.2215
757,"gene1296","1296","COL8A2","COL8A2",11,2.418,0.42,0.3257,0.4539
758,"gene27242","27242","TNFRSF21","TNFRSF21",4,2.01,0.4719,0.3254,0.4918
759,"gene10051","10051","SMC4","SMC4",12,5.151,0.2112,0.3254,0.1883
760,"gene8780","8780","RIOK3","RIOK3",4,6.88,0.1769,0.3254,0.2852
761,"gene55558","55558","PLXNA3","PLXNA3",13,5.564,0.1973,0.3253,0.2526
762,"gene6138","6138","RPL15","RPL15",46,9.531,0.2006,0.3248,0.137
763,"gene55704","55704","CCDC88A","CCDC88A",6,5.825,0.1903,0.3247,0.2871
764,"gene6513","6513","SLC2A1","SLC2A1",15,6.139,0.1841,0.3239,0.2242
765,"gene1622","1622","DBI","DBI",4,5.921,0.188,0.3233,0.1583
766,"gene4171","4171","MCM2","MCM2",28,4.126,0.2617,0.3231,0.2289
767,"gene64981","64981","MRPL34","MRPL34",11,4.672,0.2312,0.3228,0.1685
768,"gene23136","23136","EPB41L3","EPB41L3",7,4.326,0.2496,0.3227,0.3348
769,"gene9450","9450","LY86","LY86",4,4.375,0.2466,0.3221,0.3668
770,"gene6176","6176","RPLP1","RPLP1",46,10.178,0.2111,0.3208,0.1797
771,"gene23305","23305","ACSL6","ACSL6",5,4.178,0.2578,0.3206,0.3154
772,"gene64386","64386","MMP25","MMP25",6,8.664,0.1884,0.3203,0.3113
773,"gene6230","6230","RPS25","RPS25",54,9.451,0.1983,0.3197,0.1778
774,"gene10276","10276","NET1","NET1",13,3.755,0.2864,0.3193,0.379
775,"gene80739","80739","MPIG6B","MPIG6B",3,3.511,0.3059,0.3191,0.5717
776,"gene10875","10875","FGL2","FGL2",3,7.849,0.1812,0.3188,0.1658
777,"gene56261","56261","GPCPD1","GPCPD1",6,6.257,0.1815,0.3186,0.2115
778,"gene24138","24138","IFIT5","IFIT5",4,4.086,0.2631,0.3185,0.4073
779,"gene2053","2053","EPHX2","EPHX2",12,4.771,0.2252,0.3179,0.4495
780,"gene80005","80005","DOCK5","DOCK5",8,7.242,0.1756,0.3175,0.1911
781,"gene79888","79888","LPCAT1","LPCAT1",11,6.329,0.1802,0.3171,0.219
782,"gene29107","29107","NXT1","NXT1",4,3.618,0.2962,0.3163,0.1622
783,"gene4193","4193","MDM2","MDM2",59,6.042,0.1842,0.316,0.1546
784,"gene2358","2358","FPR2","FPR2",12,6.377,0.1792,0.3153,0.2976
785,"gene10161","10161","LPAR6","LPAR6",8,4.252,0.252,0.3152,0.3402
786,"gene9759","9759","HDAC4","HDAC4",29,6.293,0.1804,0.3151,0.1372
787,"gene10654","10654","PMVK","PMVK",7,4.383,0.2444,0.3148,0.1741
788,"gene84254","84254","CAMKK1","CAMKK1",40,3.769,0.2839,0.3146,0.2744
789,"gene1378","1378","CR1","CR1",10,6.224,0.1811,0.314,0.227
790,"gene10575","10575","CCT4","CCT4",17,6.644,0.1765,0.314,0.1206
791,"gene53834","53834","FGFRL1","FGFRL1",5,4.628,0.2313,0.3139,0.2418
792,"gene3459","3459","IFNGR1","IFNGR1",16,6.854,0.1748,0.3131,0.135
793,"gene22918","22918","CD93","CD93",3,7.672,0.1775,0.3121,0.3401
794,"gene2281","2281","FKBP1B","FKBP1B",6,2.366,0.4205,0.312,0.5322
795,"gene84628","84628","NTNG2","NTNG2",3,4.4,0.2427,0.312,0.3058
796,"gene94015","94015","TTYH2","TTYH2",3,5.097,0.2103,0.3115,0.1942
797,"gene6923","6923","ELOB","ELOB",62,6.22,0.1807,0.3114,0.2221
798,"gene253260","253260","RICTOR","RICTOR",32,5.855,0.1871,0.3111,0.2245
799,"gene7476","7476","WNT7A","WNT7A",9,2.432,0.4117,0.3098,0.4675
800,"gene10516","10516","FBLN5","FBLN5",6,2.984,0.3519,0.3098,0.6371
801,"gene917","917","CD3G","CD3G",33,6.511,0.1768,0.3096,0.237
802,"gene3014","3014","H2AX","H2AX",144,4.332,0.246,0.3095,0.186
803,"gene2197","2197","FAU","FAU",54,8.018,0.1814,0.3095,0.1287
804,"gene5087","5087","PBX1","PBX1",9,3.404,0.3123,0.3093,0.4363
805,"gene5245","5245","PHB1","PHB",15,5.928,0.1852,0.3093,0.1352
806,"gene10783","10783","NEK6","NEK6",9,5.262,0.2038,0.3088,0.2629
807,"gene55827","55827","DCAF6","DCAF6",3,5.755,0.1889,0.3087,0.2548
808,"gene1032","1032","CDKN2D","CDKN2D",11,6.292,0.1792,0.3084,0.2593
809,"gene864","864","RUNX3","RUNX3",26,8.809,0.1877,0.308,0.2457
810,"gene51176","51176","LEF1","LEF1",43,8.044,0.1813,0.3078,0.4544
811,"gene1230","1230","CCR1","CCR1",12,6.126,0.1812,0.3073,0.3425
812,"gene8542","8542","APOL1","APOL1",7,5.128,0.2082,0.307,0.3128
813,"gene5296","5296","PIK3R2","PIK3R2",112,5.723,0.1893,0.3069,0.1938
814,"gene7381","7381","UQCRB","UQCRB",8,7.185,0.1736,0.3057,0.1066
815,"gene4689","4689","NCF4","NCF4",23,6.83,0.1736,0.3056,0.1833
816,"gene6157","6157","RPL27A","RPL27A",49,10.005,0.2047,0.3055,0.1413
817,"gene2199","2199","FBLN2","FBLN2",6,2.305,0.4251,0.3055,0.6233
818,"gene7706","7706","TRIM25","TRIM25",44,7.049,0.1734,0.3052,0.187
819,"gene9241","9241","NOG","NOG",6,3.639,0.2912,0.3051,0.8335
820,"gene123041","123041","SLC24A4","SLC24A4",8,5.17,0.2062,0.3049,0.3849
821,"gene9314","9314","KLF4","KLF4",22,4.481,0.2366,0.3048,0.3555
822,"gene8815","8815","BANF1","BANF1",23,5.823,0.1865,0.3044,0.1414
823,"gene26232","26232","FBXO2","FBXO2",7,2.797,0.369,0.3042,0.529
824,"gene1019","1019","CDK4","CDK4",60,4.868,0.2179,0.304,0.1151
825,"gene23433","23433","RHOQ","RHOQ",10,5.766,0.1877,0.304,0.1959
826,"gene64135","64135","IFIH1","IFIH1",41,5.066,0.2098,0.3033,0.3403
827,"gene3094","3094","HINT1","HINT1",6,6.548,0.1753,0.3031,0.1315
828,"gene91584","91584","PLXNA4","PLXNA4",19,3.055,0.3427,0.3031,0.5668
829,"gene55112","55112","DYNC2I1","DYNC2I1",3,4.221,0.2507,0.3029,0.2372
830,"gene8741","8741","TNFSF13","TNFSF13",7,6.129,0.1804,0.3028,0.2494
831,"gene7036","7036","TFR2","TFR2",3,3.196,0.3292,0.3027,0.3259
832,"gene51380","51380","CSAD","CSAD",4,5.426,0.197,0.3022,0.1754
833,"gene2219","2219","FCN1","FCN1",8,9.456,0.195,0.3022,0.3585
834,"gene5728","5728","PTEN","PTEN",34,7.29,0.1728,0.302,0.15
835,"gene4703","4703","NEB","NEB",2,2.62,0.3869,0.3013,0.4621
836,"gene4092","4092","SMAD7","SMAD7",34,4.603,0.2296,0.3012,0.2782
837,"gene1175","1175","AP2S1","AP2S1",58,5.491,0.1947,0.3008,0.2003
838,"gene22836","22836","RHOBTB3","RHOBTB3",7,2.71,0.3769,0.3007,0.3856
839,"gene23463","23463","ICMT","ICMT",8,5.097,0.208,0.3004,0.1661
840,"gene59340","59340","HRH4","HRH4",8,2.702,0.3774,0.2995,0.5734
841,"gene3068","3068","HDGF","HDGF",5,7.855,0.1778,0.2995,0.2606
842,"gene6229","6229","RPS24","RPS24",54,9.613,0.1968,0.2991,0.1376
843,"gene55615","55615","PRR5","PRR5",32,6.14,0.1795,0.2988,0.3282
844,"gene4332","4332","MNDA","MNDA",3,9.151,0.19,0.2986,0.204
845,"gene5775","5775","PTPN4","PTPN4",13,6.447,0.1754,0.2983,0.2269
846,"gene3959","3959","LGALS3BP","LGALS3BP",4,4.849,0.2174,0.2982,0.3707
847,"gene9334","9334","B4GALT5","B4GALT5",17,5.671,0.1891,0.2982,0.2335
848,"gene57674","57674","RNF213","RNF213",13,9.667,0.1974,0.2981,0.3005
849,"gene653361","653361","NCF1","NCF1",23,7.566,0.1738,0.2981,0.2439
850,"gene2739","2739","GLO1","GLO1",3,4.434,0.2374,0.2975,0.1834
851,"gene26140","26140","TTLL3","TTLL3",3,5.913,0.1833,0.2972,0.1575
852,"gene27018","27018","BEX3","BEX3",5,4.32,0.2436,0.2968,0.3692
853,"gene912","912","CD1D","CD1D",3,4.666,0.2255,0.2968,0.2555
854,"gene54549","54549","SDK2","SDK2",4,3.637,0.2888,0.2961,0.6158
855,"gene2625","2625","GATA3","GATA3",27,6.126,0.1792,0.296,0.1933
856,"gene4809","4809","SNU13","SNU13",11,6.126,0.1791,0.2959,0.1241
857,"gene2215","2215","FCGR3B","FCGR3B",6,9.492,0.1942,0.2957,0.4072
858,"gene114822","114822","RHPN1","RHPN1",12,4.157,0.2527,0.2956,0.422
859,"gene962","962","CD48","CD48",2,7.824,0.1766,0.2953,0.131
860,"gene8357","8357","H3C10","H3C10",130,3.031,0.3422,0.2951,0.5181
861,"gene221937","221937","FOXK1","FOXK1",4,7.012,0.1716,0.2949,0.139
862,"gene23423","23423","TMED3","TMED3",11,4.748,0.2212,0.2947,0.1642
863,"gene221037","221037","JMJD1C","JMJD1C",2,6.988,0.1715,0.2946,0.1594
864,"gene51650","51650","MRPS33","MRPS33",11,3.301,0.3169,0.2944,0.1814
865,"gene868","868","CBLB","CBLB",4,6.04,0.1802,0.294,0.2015
866,"gene6732","6732","SRPK1","SRPK1",11,5.027,0.2093,0.294,0.2192
867,"gene4715","4715","NDUFB9","NDUFB9",4,5.508,0.1926,0.2929,0.1413
868,"gene6307","6307","MSMO1","MSMO1",6,3.201,0.3252,0.2916,0.2147
869,"gene8519","8519","IFITM1","IFITM1",6,8.452,0.1812,0.2916,0.2724
870,"gene6158","6158","RPL28","RPL28",46,10.18,0.205,0.2912,0.1742
871,"gene161742","161742","SPRED1","SPRED1",13,2.495,0.3969,0.2911,0.3976
872,"gene1154","1154","CISH","CISH",10,6.402,0.1746,0.2908,0.2567
873,"gene8665","8665","EIF3F","EIF3F",11,7.647,0.1735,0.2907,0.1433
874,"gene5197","5197","PF4V1","PF4V1",4,2.404,0.4071,0.2904,1.0155
875,"gene4904","4904","YBX1","YBX1",35,10.105,0.2034,0.2903,0.3563
876,"gene80854","80854","SETD7","SETD7",3,4.613,0.2265,0.2902,0.2284
877,"gene7514","7514","XPO1","XPO1",67,6.153,0.1777,0.29,0.1727
878,"gene706","706","TSPO","TSPO",5,6.687,0.172,0.2899,0.22
879,"gene84159","84159","ARID5B","ARID5B",3,5.736,0.1857,0.2896,0.2272
880,"gene5886","5886","RAD23A","RAD23A",9,7.056,0.1707,0.2894,0.2644
881,"gene9651","9651","PLCH2","PLCH2",3,4.302,0.2427,0.2892,0.3551
882,"gene80115","80115","BAIAP2L2","BAIAP2L2",5,2.065,0.4481,0.2891,0.3364
883,"gene7153","7153","TOP2A","TOP2A",15,2.593,0.3848,0.2882,0.4486
884,"gene1628","1628","DBP","DBP",2,5.169,0.2028,0.2881,0.1526
885,"gene3320","3320","HSP90AA1","HSP90AA1",125,8.853,0.1844,0.288,0.1485
886,"gene5800","5800","PTPRO","PTPRO",4,3.029,0.3399,0.2877,0.35
887,"gene55240","55240","STEAP3","STEAP3",18,2.861,0.3564,0.2875,0.4834
888,"gene6150","6150","MRPL23","MRPL23",11,4.705,0.2215,0.2874,0.1804
889,"gene8668","8668","EIF3I","EIF3I",11,6.465,0.1733,0.2874,0.1094
890,"gene151636","151636","DTX3L","DTX3L",4,6.417,0.1738,0.2873,0.2363
891,"gene290","290","ANPEP","ANPEP",6,8.19,0.1785,0.2871,0.3362
892,"gene7089","7089","TLE2","TLE2",14,4.157,0.2505,0.2867,0.3499
893,"gene54331","54331","GNG2","GNG2",87,7.137,0.1703,0.2865,0.2029
894,"gene54464","54464","XRN1","XRN1",12,5.812,0.1834,0.2862,0.1694
895,"gene728","728","C5AR1","C5AR1",12,7.56,0.1716,0.2861,0.1817
896,"gene4050","4050","LTB","LTB",8,7.187,0.1702,0.2855,0.2755
897,"gene80201","80201","HKDC1","HKDC1",4,3.111,0.3312,0.2849,0.5677
898,"gene11343","11343","MGLL","MGLL",23,4.363,0.2382,0.2847,0.4457
899,"gene22898","22898","DENND3","DENND3",4,7.709,0.1732,0.2843,0.1635
900,"gene64061","64061","TSPYL2","TSPYL2",5,6.039,0.1785,0.2843,0.2343
901,"gene1937","1937","EEF1G","EEF1G",7,10.499,0.2097,0.2842,0.1776
902,"gene1269","1269","CNR2","CNR2",6,4.176,0.2487,0.284,0.3325
903,"gene27335","27335","EIF3K","EIF3K",11,7.11,0.1699,0.284,0.1176
904,"gene10154","10154","PLXNC1","PLXNC1",5,7.607,0.1718,0.2839,0.185
905,"gene1241","1241","LTB4R","LTB4R",8,5.878,0.1816,0.2838,0.1877
906,"gene60489","60489","APOBEC3G","APOBEC3G",7,6.087,0.1775,0.2833,0.2404
907,"gene51310","51310","SLC22A17","SLC22A17",4,3.04,0.3372,0.2827,0.4555
908,"gene10811","10811","NOXA1","NOXA1",14,3.917,0.2646,0.2827,0.2672
909,"gene25885","25885","POLR1A","POLR1A",16,5.122,0.2034,0.2825,0.1694
910,"gene1233","1233","CCR4","CCR4",8,4.137,0.2506,0.2823,0.4354
911,"gene57105","57105","CYSLTR2","CYSLTR2",16,3.232,0.3192,0.282,0.3847
912,"gene51747","51747","LUC7L3","LUC7L3",4,7.319,0.1693,0.2817,0.142
913,"gene56937","56937","PMEPA1","PMEPA1",5,2.78,0.3623,0.281,0.3912
914,"gene4509","4509","MT-ATP8","MT-ATP8",10,10.663,0.2123,0.2809,0.2461
915,"gene4522","4522","MTHFD1","MTHFD1",4,4.855,0.2134,0.2808,0.1742
916,"gene7056","7056","THBD","THBD",4,4.621,0.224,0.2805,0.4418
917,"gene91749","91749","SLC60A2","MFSD4B",3,2.875,0.3526,0.2805,0.2281
918,"gene51320","51320","MEX3C","MEX3C",4,5.795,0.1827,0.2805,0.165
919,"gene2672","2672","GFI1","GFI1",2,4.663,0.2217,0.2793,0.3902
920,"gene8477","8477","GPR65","GPR65",6,5.372,0.1943,0.2793,0.2185
921,"gene216","216","ALDH1A1","ALDH1A1",18,3.839,0.2688,0.2784,0.4156
922,"gene10490","10490","VTI1B","VTI1B",4,5.919,0.1797,0.2781,0.2601
923,"gene5351","5351","PLOD1","PLOD1",3,5.552,0.1884,0.2774,0.2616
924,"gene9585","9585","KIF20B","KIF20B",8,3.51,0.2934,0.2773,0.3127
925,"gene959","959","CD40LG","CD40LG",6,5.191,0.1998,0.2772,0.2381
926,"gene253782","253782","CERS6","CERS6",4,4.992,0.2071,0.277,0.1888
927,"gene518","518","ATP5MC3","ATP5MC3",6,5.747,0.1831,0.277,0.1369
928,"gene5411","5411","PNN","PNN",4,7.23,0.1687,0.2769,0.122
929,"gene2570","2570","GABRR2","GABRR2",4,2.546,0.3854,0.2763,0.5133
930,"gene29116","29116","MYLIP","MYLIP",12,5.894,0.1798,0.2761,0.2434
931,"gene10794","10794","ZNF460","ZNF460",3,2.616,0.3776,0.2758,0.2552
932,"gene10970","10970","CKAP4","CKAP4",14,5.639,0.1857,0.2757,0.2442
933,"gene79090","79090","TRAPPC6A","TRAPPC6A",10,4.814,0.2139,0.2747,0.1417
934,"gene6124","6124","RPL4","RPL4",46,10.718,0.2121,0.2747,0.1658
935,"gene932","932","MS4A3","MS4A3",3,3.105,0.3282,0.2741,0.6134
936,"gene55313","55313","CPPED1","CPPED1",3,7.483,0.1688,0.2737,0.2323
937,"gene114882","114882","OSBPL8","OSBPL8",5,6.558,0.1701,0.2735,0.2084
938,"gene55701","55701","ARHGEF40","ARHGEF40",13,5.721,0.1831,0.273,0.3101
939,"gene610","610","HCN2","HCN2",3,2.275,0.4147,0.2719,0.5581
940,"gene8863","8863","PER3","PER3",7,4.148,0.2472,0.2713,0.3058
941,"gene3109","3109","HLA-DMB","HLA-DMB",3,4.889,0.21,0.2712,0.2205
942,"gene8313","8313","AXIN2","AXIN2",10,4.794,0.2138,0.2705,0.4272
943,"gene83858","83858","ATAD3B","ATAD3B",3,5.014,0.2049,0.2704,0.2444
944,"gene11240","11240","PADI2","PADI2",5,6.337,0.1719,0.2703,0.5464
945,"gene1795","1795","DOCK3","DOCK3",20,2.625,0.3745,0.2701,0.4041
946,"gene151306","151306","GPBAR1","GPBAR1",6,4.493,0.2279,0.2701,0.3566
947,"gene6132","6132","RPL8","RPL8",49,10.236,0.2017,0.27,0.1781
948,"gene1514","1514","CTSL","CTSL",44,2.863,0.3501,0.2699,0.5093
949,"gene63891","63891","RNF123","RNF123",8,6.043,0.1758,0.2692,0.2619
950,"gene4172","4172","MCM3","MCM3",24,6.103,0.1747,0.2686,0.1189
951,"gene79143","79143","MBOAT7","MBOAT7",5,6.666,0.1685,0.2685,0.1882
952,"gene64772","64772","ENGASE","ENGASE",4,6.454,0.1701,0.2679,0.2741
953,"gene25804","25804","LSM4","LSM4",9,5.335,0.1932,0.2678,0.1384
954,"gene29802","29802","VPREB3","VPREB3",2,2.536,0.3831,0.2676,0.5437
955,"gene7433","7433","VIPR1","VIPR1",7,5.663,0.1836,0.2676,0.2909
956,"gene1508","1508","CTSB","CTSB",21,8.529,0.1775,0.2675,0.2267
957,"gene1901","1901","S1PR1","S1PR1",14,7.782,0.1712,0.2674,0.1677
958,"gene23530","23530","NNT","NNT",3,5.675,0.1832,0.2673,0.139
959,"gene79646","79646","PANK3","PANK3",5,4.128,0.2473,0.2672,0.1739
960,"gene89849","89849","ATG16L2","ATG16L2",2,8.542,0.1776,0.267,0.1754
961,"gene7710","7710","ZNF154","ZNF154",3,3.982,0.2563,0.267,0.6379
962,"gene7027","7027","TFDP1","TFDP1",61,5.8,0.1801,0.2668,0.2328
963,"gene2643","2643","GCH1","GCH1",4,4.704,0.2171,0.2667,0.2169
964,"gene200315","200315","APOBEC3A","APOBEC3A",4,5.36,0.1922,0.2666,0.3787
965,"gene143884","143884","CWF19L2","CWF19L2",4,5.123,0.2001,0.2666,0.1399
966,"gene2948","2948","GSTM4","GSTM4",9,4.336,0.2354,0.2665,0.7629
967,"gene9188","9188","DDX21","DDX21",8,6.679,0.1681,0.2664,0.1284
968,"gene4343","4343","MOV10","MOV10",79,5.785,0.1804,0.2664,0.2248
969,"gene219855","219855","SLC37A2","SLC37A2",4,4.784,0.2133,0.2663,0.2915
970,"gene1234","1234","CCR5","CCR5",19,5.445,0.1893,0.2658,0.3946
